# Time (s),Altitude (m)
59.722,1.462e4
59.802,1.462e4
59.926,1.462e4
60.057,1.462e4
60.152,1.462e4
60.283,1.462e4
60.453,1.462e4
60.586,1.461e4
60.713,1.461e4
60.926,1.461e4
61.149,1.461e4
61.338,1.461e4
61.503,1.46e4
61.795,1.46e4
62.295,1.459e4
62.578,1.458e4
62.948,1.457e4
63.334,1.456e4
63.834,1.455e4
64.334,1.453e4
64.834,1.451e4
65.334,1.45e4
65.834,1.448e4
66.334,1.446e4
66.834,1.443e4
67.334,1.441e4
67.834,1.439e4
68.334,1.436e4
68.834,1.434e4
69.334,1.431e4
69.834,1.429e4
70.334,1.426e4
70.834,1.423e4
71.334,1.42e4
71.834,1.418e4
72.334,1.415e4
72.834,1.412e4
73.334,1.409e4
73.834,1.406e4
74.334,1.403e4
74.834,1.4e4
75.334,1.397e4
75.834,1.395e4
76.334,1.392e4
76.834,1.389e4
77.334,1.386e4
77.834,1.383e4
78.334,1.38e4
78.834,1.377e4
79.334,1.374e4
79.834,1.371e4
80.334,1.368e4
80.834,1.365e4
81.334,1.362e4
81.834,1.359e4
82.334,1.357e4
82.834,1.354e4
83.334,1.351e4
83.834,1.348e4
84.334,1.345e4
84.834,1.342e4
85.334,1.339e4
85.834,1.336e4
86.334,1.333e4
86.834,1.331e4
87.334,1.328e4
87.834,1.325e4
88.334,1.322e4
88.834,1.319e4
89.334,1.316e4
89.834,1.314e4
90.334,1.311e4
90.834,1.308e4
91.334,1.305e4
91.834,1.302e4
92.334,1.3e4
92.834,1.297e4
93.334,1.294e4
93.834,1.291e4
94.334,1.289e4
94.834,1.286e4
95.334,1.283e4
95.834,1.28e4
96.334,1.278e4
96.834,1.275e4
97.334,1.272e4
97.834,1.269e4
98.334,1.267e4
98.834,1.264e4
99.334,1.261e4
99.834,1.259e4
100.334,1.256e4
100.834,1.253e4
101.334,1.251e4
101.834,1.248e4
102.334,1.245e4
102.834,1.243e4
103.334,1.24e4
103.834,1.237e4
104.334,1.235e4
104.834,1.232e4
105.334,1.229e4
105.834,1.227e4
106.334,1.224e4
106.834,1.222e4
107.334,1.219e4
107.834,1.216e4
108.334,1.214e4
108.834,1.211e4
109.334,1.209e4
109.834,1.206e4
110.334,1.203e4
110.834,1.201e4
111.334,1.198e4
111.834,1.196e4
112.334,1.193e4
112.834,1.191e4
113.334,1.188e4
113.834,1.186e4
114.334,1.183e4
114.834,1.18e4
115.334,1.178e4
115.834,1.175e4
116.334,1.173e4
116.834,1.17e4
117.334,1.168e4
117.834,1.165e4
118.334,1.163e4
118.834,1.16e4
119.334,1.158e4
119.834,1.155e4
120.334,1.153e4
120.834,1.15e4
121.334,1.148e4
121.834,1.146e4
122.334,1.143e4
122.834,1.141e4
123.334,1.138e4
123.834,1.136e4
124.334,1.133e4
124.834,1.131e4
125.334,1.128e4
125.834,1.126e4
126.334,1.124e4
126.834,1.121e4
127.334,1.119e4
127.834,1.116e4
128.334,1.114e4
128.834,1.112e4
129.334,1.109e4
129.834,1.107e4
130.334,1.104e4
130.834,1.102e4
131.334,1.1e4
131.834,1.097e4
132.334,1.095e4
132.834,1.093e4
133.334,1.09e4
133.834,1.088e4
134.334,1.086e4
134.834,1.083e4
135.334,1.081e4
135.834,1.079e4
136.334,1.076e4
136.834,1.074e4
137.334,1.072e4
137.834,1.069e4
138.334,1.067e4
138.834,1.065e4
139.334,1.062e4
139.834,1.06e4
140.334,1.058e4
140.834,1.056e4
141.334,1.053e4
141.834,1.051e4
142.334,1.049e4
