# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.62,1.896,9.748,26.189,9.749,26.193,0.033,0,0.033,0,0.17,0.457,35.353,-117.807,9.796,21.823,0,0,0,1.05e5,4.254e4,140.123,1.085,NaN,362.872,NaN,0.031,3.756e6,3780.563,1.511,0.404,0.512,0.36,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.932,10.912,940.207,337.912,0.01,0.113
0.63,1.995,10.01,26.177,10.011,26.181,0.035,0,0.035,0,0.175,0.457,35.353,-117.807,9.796,20.953,0,0,0,1.05e5,4.252e4,140.119,1.085,NaN,362.869,NaN,0.032,3.832e6,3778.755,1.581,0.403,0.515,0.359,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.86,10.912,940.196,337.911,0.01,0.114
0.64,2.096,10.271,26.166,10.273,26.17,0.037,0,0.037,0,0.179,0.457,35.353,-117.807,9.796,20.117,0,0,0,1.05e5,4.25e4,140.114,1.085,NaN,362.866,NaN,0.033,3.91e6,3776.947,1.65,0.401,0.516,0.358,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.788,10.911,940.185,337.911,0.01,0.116
0.65,2.2,10.533,26.155,10.534,26.159,0.038,0,0.038,0,0.184,0.457,35.353,-117.807,9.796,19.314,0,0,0,1.05e5,4.248e4,140.11,1.084,NaN,362.862,NaN,0.033,3.988e6,3775.139,1.72,0.4,0.517,0.356,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.715,10.91,940.173,337.91,0.01,0.117
0.66,2.307,10.794,26.143,10.796,26.147,0.04,0,0.04,0,0.188,0.456,35.353,-117.807,9.796,18.783,0,0,0,1.049e5,4.246e4,140.106,1.084,NaN,362.859,NaN,0.034,4.073e6,3773.331,1.792,0.399,0.517,0.355,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.694,10.91,940.162,337.91,0.01,0.118
0.67,2.416,11.055,26.132,11.057,26.136,0.042,0,0.042,0,0.193,0.456,35.353,-117.807,9.796,18.274,0,0,0,1.049e5,4.244e4,140.101,1.084,NaN,362.855,NaN,0.035,4.159e6,3771.523,1.865,0.398,0.516,0.354,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.673,10.909,940.149,337.91,0.01,0.12
0.68,2.528,11.317,26.121,11.318,26.125,0.044,0,0.044,0,0.198,0.456,35.353,-117.807,9.796,17.785,0,0,0,1.049e5,4.242e4,140.097,1.084,NaN,362.852,NaN,0.035,4.244e6,3769.715,1.939,0.396,0.515,0.353,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.652,10.908,940.137,337.909,0.01,0.121
0.69,2.643,11.578,26.109,11.579,26.113,0.046,0,0.046,0,0.202,0.456,35.353,-117.807,9.796,17.316,0,0,0,1.049e5,4.241e4,140.093,1.084,NaN,362.848,NaN,0.036,4.33e6,3767.907,2.013,0.395,0.513,0.351,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.631,10.907,940.124,337.909,0.01,0.122
0.7,2.76,11.839,26.098,11.84,26.102,0.048,0,0.048,0,0.207,0.456,35.353,-117.807,9.796,16.866,0,0,0,1.049e5,4.239e4,140.088,1.084,NaN,362.845,NaN,0.037,4.417e6,3766.1,2.088,0.394,0.512,0.35,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.609,10.907,940.111,337.908,0.01,0.124
0.71,2.879,12.099,26.086,12.101,26.09,0.05,0,0.05,0,0.211,0.455,35.353,-117.807,9.796,17.132,0,0,0,1.048e5,4.237e4,140.084,1.084,NaN,362.841,NaN,0.038,4.521e6,3764.292,2.18,0.392,0.51,0.349,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.751,10.906,940.098,337.908,0.01,0.125
0.72,3.002,12.36,26.075,12.362,26.079,0.052,0,0.052,0,0.216,0.455,35.353,-117.807,9.796,17.386,0,0,0,1.048e5,4.235e4,140.08,1.083,NaN,362.838,NaN,0.039,4.625e6,3762.484,2.273,0.391,0.508,0.347,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,24.13,457.303,89,0,3.893,10.905,940.084,337.907,0.01,0.126
0.73,3.127,12.621,26.063,12.623,26.067,0.055,0,0.055,0,0.22,0.455,35.353,-117.807,9.796,17.629,0,0,0,1.048e5,4.233e4,140.075,1.083,NaN,362.834,NaN,0.039,4.729e6,3760.676,2.368,0.39,0.506,0.346,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.034,10.904,940.07,337.907,0.01,0.127
0.74,3.254,12.881,26.052,12.883,26.056,0.057,0,0.057,0,0.225,0.455,35.353,-117.807,9.796,17.862,0,0,0,1.048e5,4.231e4,140.071,1.083,NaN,362.831,NaN,0.04,4.833e6,3758.868,2.465,0.388,0.505,0.345,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.176,10.903,940.056,337.906,0.01,0.13
0.75,3.384,13.142,26.04,13.144,26.044,0.059,0,0.059,0,0.229,0.455,35.353,-117.807,9.796,18.085,0,0,0,1.048e5,4.229e4,140.066,1.083,NaN,362.827,NaN,0.041,4.937e6,3757.06,2.563,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.318,10.903,940.041,337.906,0.01,0.131
0.76,3.517,13.402,26.028,13.404,26.032,0.061,0,0.061,0,0.234,0.454,35.353,-117.807,9.796,18.029,0,0,0,1.047e5,4.227e4,140.062,1.083,NaN,362.824,NaN,0.042,5.034e6,3755.252,2.661,0.387,0.502,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.388,10.902,940.026,337.905,0.01,0.134
0.77,3.652,13.662,26.017,13.664,26.021,0.064,0,0.064,0,0.238,0.454,35.353,-117.807,9.796,17.975,0,0,0,1.047e5,4.225e4,140.058,1.083,NaN,362.821,NaN,0.043,5.129e6,3753.444,2.763,0.387,0.502,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.459,10.901,940.011,337.905,0.01,0.135
0.78,3.79,13.922,26.005,13.924,26.009,0.066,0,0.066,0,0.243,0.454,35.353,-117.807,9.796,17.924,0,0,0,1.047e5,4.223e4,140.053,1.083,NaN,362.817,NaN,0.044,5.225e6,3751.636,2.868,0.387,0.502,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.53,10.9,939.996,337.904,0.01,0.136
0.79,3.931,14.182,25.993,14.184,25.997,0.069,0,0.069,0,0.248,0.454,35.353,-117.807,9.796,17.874,0,0,0,1.047e5,4.221e4,140.049,1.083,NaN,362.814,NaN,0.044,5.321e6,3749.828,2.975,0.387,0.502,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.601,10.899,939.98,337.904,0.01,0.138
0.8,4.074,14.442,25.982,14.444,25.986,0.071,0,0.071,0,0.252,0.454,35.353,-117.807,9.796,17.826,0,0,0,1.047e5,4.219e4,140.045,1.082,NaN,362.81,NaN,0.045,5.417e6,3748.02,3.083,0.387,0.502,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.672,10.898,939.964,337.903,0.01,0.139
0.81,4.219,14.701,25.97,14.704,25.974,0.074,0,0.074,0,0.257,0.453,35.353,-117.807,9.796,17.674,0,0,0,1.046e5,4.217e4,140.04,1.082,NaN,362.807,NaN,0.046,5.51e6,3746.213,3.19,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.712,10.897,939.948,337.903,0.01,0.14
0.82,4.368,14.961,25.958,14.963,25.962,0.076,0,0.076,0,0.261,0.453,35.353,-117.807,9.796,17.527,0,0,0,1.046e5,4.216e4,140.036,1.082,NaN,362.803,NaN,0.047,5.602e6,3744.405,3.299,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.753,10.896,939.931,337.902,0.01,0.141
0.83,4.519,15.22,25.946,15.223,25.95,0.079,0,0.079,0,0.266,0.453,35.353,-117.807,9.796,17.385,0,0,0,1.046e5,4.214e4,140.032,1.082,NaN,362.8,NaN,0.047,5.694e6,3742.597,3.409,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.793,10.895,939.914,337.901,0.01,0.142
0.84,4.672,15.48,25.935,15.482,25.939,0.082,0,0.082,0,0.27,0.453,35.353,-117.807,9.796,17.248,0,0,0,1.046e5,4.212e4,140.027,1.082,NaN,362.796,NaN,0.048,5.787e6,3740.789,3.521,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.834,10.894,939.897,337.901,0.01,0.143
0.85,4.828,15.739,25.923,15.741,25.927,0.084,0,0.084,0,0.275,0.452,35.353,-117.807,9.796,17.115,0,0,0,1.046e5,4.21e4,140.023,1.082,NaN,362.793,NaN,0.049,5.879e6,3738.981,3.634,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.874,10.893,939.88,337.9,0.01,0.144
0.86,4.987,15.998,25.911,16,25.915,0.087,0,0.087,0,0.279,0.452,35.353,-117.807,9.796,17.104,0,0,0,1.046e5,4.208e4,140.018,1.082,NaN,362.789,NaN,0.05,5.975e6,3737.173,3.754,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.951,10.892,939.862,337.9,0.01,0.145
0.87,5.148,16.257,25.899,16.259,25.903,0.09,0,0.09,0,0.284,0.452,35.353,-117.807,9.796,17.093,0,0,0,1.045e5,4.206e4,140.014,1.081,NaN,362.786,NaN,0.051,6.072e6,3735.365,3.876,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,5.028,10.891,939.844,337.899,0.01,0.146
0.88,5.312,16.516,25.887,16.518,25.891,0.093,0,0.093,0,0.288,0.452,35.353,-117.807,9.796,17.083,0,0,0,1.045e5,4.204e4,140.01,1.081,NaN,362.782,NaN,0.051,6.168e6,3733.557,4,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,5.105,10.89,939.826,337.898,0.01,0.147
0.89,5.479,16.775,25.875,16.777,25.879,0.096,0,0.096,0,0.293,0.452,35.353,-117.807,9.796,17.074,0,0,0,1.045e5,4.202e4,140.005,1.081,NaN,362.779,NaN,0.052,6.264e6,3731.749,4.126,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,5.181,10.889,939.807,337.898,0.01,0.148
0.9,5.648,17.033,25.863,17.036,25.867,0.099,0,0.099,0,0.297,0.451,35.353,-117.807,9.796,17.064,0,0,0,1.045e5,4.2e4,140.001,1.081,NaN,362.775,NaN,0.053,6.36e6,3729.941,4.254,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,5.258,10.888,939.788,337.897,0.01,0.149
0.91,5.819,17.292,25.851,17.294,25.855,0.102,0,0.102,0,0.302,0.451,35.353,-117.807,9.796,16.709,0,0,0,1.045e5,4.198e4,139.997,1.081,NaN,362.772,NaN,0.054,6.444e6,3728.134,4.365,0.387,0.503,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,5.22,10.887,939.769,337.896,0.01,0.15
0.92,5.993,17.55,25.84,17.553,25.843,0.105,0,0.105,0,0.306,0.451,35.353,-117.807,9.796,16.364,0,0,0,1.044e5,4.196e4,139.992,1.081,NaN,362.768,NaN,0.054,6.528e6,3726.326,4.476,0.387,0.502,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,5.181,10.886,939.75,337.896,0.01,0.151
0.93,6.17,17.808,25.828,17.811,25.832,0.108,0,0.108,0,0.311,0.451,35.353,-117.807,9.796,16.027,0,0,0,1.044e5,4.194e4,139.988,1.081,NaN,362.765,NaN,0.055,6.611e6,3724.518,4.587,0.387,0.502,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,5.143,10.884,939.73,337.895,0.01,0.152
0.94,6.35,18.066,25.816,18.069,25.82,0.111,0,0.111,0,0.315,0.451,35.353,-117.807,9.796,15.699,0,0,0,1.044e5,4.193e4,139.984,1.08,NaN,362.761,NaN,0.056,6.696e6,3722.71,4.696,0.387,0.501,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,5.105,10.883,939.71,337.894,0.01,0.153
0.95,6.532,18.324,25.804,18.327,25.808,0.114,0,0.114,0,0.32,0.45,35.353,-117.807,9.796,15.379,0,0,0,1.044e5,4.191e4,139.979,1.08,NaN,362.758,NaN,0.057,6.78e6,3720.902,4.805,0.387,0.5,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,5.066,10.882,939.69,337.893,0.01,0.154
0.96,6.716,18.582,25.792,18.585,25.796,0.117,0,0.117,0,0.324,0.45,35.353,-117.807,9.796,14.789,0,0,0,1.044e5,4.189e4,139.975,1.08,NaN,362.754,NaN,0.057,6.855e6,3719.094,4.889,0.387,0.497,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.93,10.881,939.669,337.893,0.01,0.155
0.97,6.903,18.84,25.781,18.843,25.785,0.12,0,0.12,0,0.329,0.45,35.353,-117.807,9.796,14.212,0,0,0,1.043e5,4.187e4,139.97,1.08,NaN,362.751,NaN,0.058,6.93e6,3717.286,4.967,0.387,0.495,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.794,10.88,939.648,337.892,0.01,0.156
0.98,7.093,19.098,25.769,19.101,25.773,0.124,0,0.124,0,0.333,0.45,35.353,-117.807,9.796,13.648,0,0,0,1.043e5,4.185e4,139.966,1.08,NaN,362.747,NaN,0.058,7.007e6,3715.478,5.042,0.387,0.491,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.658,10.878,939.627,337.891,0.01,0.157
0.99,7.285,19.355,25.758,19.358,25.762,0.127,0,0.127,0,0.338,0.45,35.353,-117.807,9.796,13.095,0,0,0,1.043e5,4.183e4,139.962,1.08,NaN,362.744,NaN,0.059,7.083e6,3713.67,5.114,0.387,0.487,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.522,10.877,939.605,337.89,0.01,0.158
1,7.48,19.613,25.747,19.616,25.75,0.131,0,0.131,0,0.342,0.449,35.353,-117.807,9.796,12.555,0,0,0,1.043e5,4.181e4,139.957,1.08,NaN,362.74,NaN,0.06,7.161e6,3711.862,5.182,0.387,0.483,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.386,10.876,939.584,337.89,0.01,0.159
1.01,7.677,19.87,25.735,19.873,25.738,0.134,0,0.134,0,0.347,0.449,35.353,-117.807,9.796,12.508,0,0,0,1.043e5,4.179e4,139.953,1.079,NaN,362.737,NaN,0.06,7.253e6,3710.055,5.313,0.387,0.483,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.426,10.875,939.561,337.889,0.01,0.16
1.02,7.877,20.127,25.722,20.13,25.726,0.138,0,0.138,0,0.351,0.449,35.353,-117.807,9.796,12.461,0,0,0,1.042e5,4.177e4,139.949,1.079,NaN,362.733,NaN,0.061,7.346e6,3708.247,5.445,0.387,0.482,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.466,10.873,939.539,337.888,0.01,0.161
1.03,8.08,20.384,25.71,20.387,25.714,0.141,0,0.141,0,0.356,0.449,35.353,-117.807,9.796,12.416,0,0,0,1.042e5,4.175e4,139.944,1.079,NaN,362.73,NaN,0.062,7.438e6,3706.439,5.579,0.387,0.482,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.507,10.872,939.517,337.887,0.01,0.162
1.04,8.285,20.641,25.696,20.644,25.7,0.145,0,0.145,0,0.36,0.449,35.353,-117.807,9.796,12.373,0,0,0,1.042e5,4.173e4,139.94,1.079,NaN,362.726,NaN,0.063,7.53e6,3704.406,5.714,0.387,0.482,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.547,10.871,939.494,337.887,0.01,0.163
1.05,8.493,20.898,25.68,20.901,25.684,0.148,0,0.148,0,0.365,0.448,35.353,-117.807,9.796,12.33,0,0,0,1.042e5,4.171e4,139.935,1.079,NaN,362.723,NaN,0.064,7.622e6,3702.148,5.851,0.387,0.481,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,24.13,457.303,89,0,4.587,10.869,939.47,337.886,0.01,0.164
1.06,8.703,21.155,25.663,21.158,25.667,0.152,0,0.152,0,0.369,0.448,35.353,-117.807,9.796,12.433,0,0,0,1.042e5,4.169e4,139.931,1.079,NaN,362.719,NaN,0.064,7.719e6,3699.89,6.011,0.387,0.482,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.683,10.868,939.447,337.885,0.01,0.165
1.07,8.916,21.411,25.646,21.414,25.65,0.156,0,0.156,0,0.374,0.448,35.353,-117.807,9.796,12.534,0,0,0,1.041e5,4.168e4,139.927,1.079,NaN,362.716,NaN,0.065,7.816e6,3697.632,6.173,0.387,0.483,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.78,10.867,939.423,337.884,0.01,0.166
1.08,9.131,21.667,25.63,21.671,25.633,0.159,0,0.159,0,0.378,0.447,35.353,-117.807,9.796,12.632,0,0,0,1.041e5,4.166e4,139.922,1.079,NaN,362.712,NaN,0.066,7.913e6,3695.373,6.337,0.387,0.484,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.877,10.865,939.399,337.883,0.01,0.167
1.09,9.349,21.923,25.613,21.927,25.617,0.163,0,0.163,0,0.383,0.447,35.353,-117.807,9.796,12.728,0,0,0,1.041e5,4.164e4,139.918,1.078,NaN,362.709,NaN,0.067,8.009e6,3693.115,6.503,0.387,0.485,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.973,10.864,939.375,337.882,0.01,0.168
1.1,9.57,22.179,25.596,22.183,25.6,0.167,0,0.167,0,0.387,0.447,35.353,-117.807,9.796,12.822,0,0,0,1.041e5,4.162e4,139.914,1.078,NaN,362.705,NaN,0.068,8.106e6,3690.857,6.67,0.387,0.485,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,5.07,10.862,939.35,337.881,0.01,0.169
1.11,9.793,22.435,25.58,22.439,25.584,0.171,0,0.171,0,0.392,0.446,35.353,-117.807,9.796,12.537,0,0,0,1.041e5,4.16e4,139.909,1.078,NaN,362.702,NaN,0.068,8.189e6,3688.599,6.777,0.387,0.483,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,5.01,10.861,939.325,337.881,0.01,0.17
1.12,10.018,22.691,25.564,22.694,25.568,0.175,0,0.175,0,0.396,0.446,35.353,-117.807,9.796,12.257,0,0,0,1.041e5,4.158e4,139.905,1.078,NaN,362.698,NaN,0.069,8.273e6,3686.341,6.884,0.387,0.481,0.343,0.003,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.95,10.859,939.3,337.88,0.01,0.171
1.13,10.247,22.946,25.547,22.95,25.551,0.179,0,0.179,0,0.401,0.446,35.353,-117.807,9.796,11.983,0,0,0,1.04e5,4.156e4,139.9,1.078,NaN,362.695,NaN,0.07,8.357e6,3684.083,6.991,0.387,0.479,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.89,10.858,939.274,337.879,0.01,0.172
1.14,10.477,23.201,25.531,23.205,25.535,0.183,0,0.183,0,0.405,0.446,35.353,-117.807,9.796,11.715,0,0,0,1.04e5,4.154e4,139.896,1.078,NaN,362.691,NaN,0.07,8.44e6,3681.825,7.097,0.387,0.476,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.83,10.856,939.249,337.878,0.01,0.173
1.15,10.711,23.457,25.515,23.46,25.519,0.187,0,0.187,0,0.409,0.445,35.353,-117.807,9.796,11.452,0,0,0,1.04e5,4.152e4,139.892,1.078,NaN,362.688,NaN,0.071,8.524e6,3679.567,7.204,0.387,0.474,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.77,10.855,939.223,337.877,0.01,0.174
1.16,10.946,23.712,25.499,23.715,25.503,0.191,0,0.191,0,0.414,0.445,35.353,-117.807,9.796,11.207,0,0,0,1.04e5,4.15e4,139.887,1.077,NaN,362.684,NaN,0.072,8.609e6,3677.309,7.313,0.387,0.472,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.716,10.853,939.196,337.876,0.01,0.175
1.17,11.185,23.966,25.483,23.97,25.486,0.195,0,0.195,0,0.418,0.445,35.353,-117.807,9.796,10.968,0,0,0,1.04e5,4.148e4,139.883,1.077,NaN,362.681,NaN,0.073,8.693e6,3675.051,7.422,0.387,0.469,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.662,10.852,939.17,337.875,0.01,0.176
1.18,11.426,24.221,25.466,24.225,25.47,0.199,0,0.199,0,0.423,0.445,35.353,-117.807,9.796,10.733,0,0,0,1.039e5,4.146e4,139.879,1.077,NaN,362.677,NaN,0.073,8.778e6,3672.793,7.532,0.387,0.467,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.608,10.85,939.143,337.874,0.01,0.177
1.19,11.669,24.475,25.45,24.479,25.454,0.204,0,0.204,0,0.427,0.444,35.353,-117.807,9.796,10.503,0,0,0,1.039e5,4.145e4,139.874,1.077,NaN,362.674,NaN,0.074,8.863e6,3670.535,7.642,0.387,0.465,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.554,10.849,939.115,337.873,0.01,0.178
1.2,11.915,24.73,25.434,24.734,25.438,0.208,0,0.208,0,0.432,0.444,35.353,-117.807,9.796,10.277,0,0,0,1.039e5,4.143e4,139.87,1.077,NaN,362.67,NaN,0.075,8.948e6,3668.276,7.752,0.387,0.463,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.5,10.847,939.088,337.872,0.01,0.179
1.21,12.164,24.984,25.417,24.988,25.421,0.212,0,0.212,0,0.436,0.444,35.353,-117.807,9.796,10.207,0,0,0,1.039e5,4.141e4,139.866,1.077,NaN,362.667,NaN,0.075,9.037e6,3666.018,7.896,0.387,0.462,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.514,10.845,939.06,337.871,0.01,0.18
1.22,12.415,25.238,25.4,25.242,25.404,0.217,0,0.217,0,0.441,0.443,35.353,-117.807,9.796,10.138,0,0,0,1.039e5,4.139e4,139.861,1.077,NaN,362.663,NaN,0.076,9.127e6,3663.76,8.042,0.387,0.461,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.528,10.844,939.032,337.87,0.01,0.181
1.23,12.669,25.492,25.384,25.496,25.388,0.221,0,0.221,0,0.445,0.443,35.353,-117.807,9.796,10.071,0,0,0,1.038e5,4.137e4,139.857,1.076,NaN,362.66,NaN,0.077,9.216e6,3661.502,8.189,0.387,0.461,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.543,10.842,939.004,337.869,0.01,0.182
1.24,12.925,25.745,25.367,25.749,25.371,0.226,0,0.226,0,0.449,0.443,35.353,-117.807,9.796,10.005,0,0,0,1.038e5,4.135e4,139.852,1.076,NaN,362.656,NaN,0.078,9.306e6,3659.244,8.337,0.387,0.46,0.343,0.004,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,24.13,457.303,89,0,4.557,10.84,938.975,337.868,0.01,0.183
